Index,Codul candidatului,Poziţia în ierarhia Evaluare Națională 2025,Școala de proveniență,Limba şi literatura română - Notă,Limba şi literatura română - Contestație,Limba şi literatura română - Notă finală,Matematică - Notă,Matematică - Contestație,Matematică - Notă finală,Limba şi literatura maternă - Denumire,Limba şi literatura maternă - Notă,Limba şi literatura maternă - Contestație,Limba şi literatura maternă - Notă finală,Media la evaluarea națională
112,TM10109926,3997,LICEUL TEORETIC GĂTAIA,5.75,-,-,5.20,-,-,-,-,-,-,5.47
113,TM10111816,3550,"LICEUL TEHNOLOGIC ""ROMULUS PARASCHIVOIU"" LOVRIN",5.65,-,-,6.50,-,-,-,-,-,-,6.07
114,TM10115699,3354,ȘCOALA GIMNAZIALĂ ORȚIȘOARA,7.40,-,-,5.25,-,-,-,-,-,-,6.32
115,TM10116062,4369,ȘCOALA GIMNAZIALĂ NR.24 TIMIȘOARA,6.35,-,-,3.50,-,-,-,-,-,-,4.92
116,TM10116155,2732,ȘCOALA GIMNAZIALĂ ORȚIȘOARA,8.05,-,-,6.20,-,-,-,-,-,-,7.12
117,TM10116802,3021,"COLEGIUL NAȚIONAL PEDAGOGIC ""CARMEN SYLVA"" TIMIȘOARA",7.90,-,-,5.60,-,-,-,-,-,-,6.75
118,TM10116992,2311,ȘCOALA GIMNAZIALĂ NR.4 LUGOJ,7.95,-,-,7.30,-,-,-,-,-,-,7.62
119,TM10119401,3424,ȘCOALA GIMNAZIALĂ ȘANDRA,6.00,-,-,6.50,-,-,-,-,-,-,6.25
120,TM10123063,5082,ȘCOALA GIMNAZIALĂ NR.20 TIMIȘOARA,2.65,-,-,3.55,-,-,-,-,-,-,3.10
121,TM10126037,5048,ȘCOALA GIMNAZIALĂ NR.30 TIMIȘOARA,2.20,-,-,4.50,-,-,-,-,-,-,3.35
122,TM10126077,1797,COLEGIUL NAȚIONAL BĂNĂȚEAN TIMIȘOARA,7.95,-,-,8.40,-,-,-,-,-,-,8.17
123,TM10126161,2030,ȘCOALA GIMNAZIALĂ MOȘNIȚA NOUĂ,8.30,-,-,7.55,-,-,-,-,-,-,7.92
124,TM10126249,4553,ȘCOALA GIMNAZIALĂ SACOȘU TURCESC,4.20,-,-,5.00,-,-,-,-,-,-,4.60
125,TM10126625,3052,LICEUL WALDORF TIMIȘOARA,7.00,-,-,6.45,-,-,-,-,-,-,6.72
126,TM10126723,3216,"LICEUL TEORETIC ""DAVID VONIGA"" GIROC",6.20,-,-,6.90,-,-,-,-,-,-,6.55
127,TM10126826,2891,"LICEUL CU PROGRAM SPORTIV ""BANATUL"" TIMIȘOARA",6.35,-,-,7.50,-,-,-,-,-,-,6.92
128,TM10126884,4034,"LICEUL TEORETIC ""JEAN LOUIS CALDERON"" TIMIȘOARA",5.85,-,-,5.00,-,-,-,-,-,-,5.42
129,TM10126949,4797,ȘCOALA GIMNAZIALĂ NR.20 TIMIȘOARA,4.20,-,-,4.00,-,-,-,-,-,-,4.10
130,TM10127021,1089,ȘCOALA GIMNAZIALĂ NR.12 TIMIȘOARA,9.10,-,-,8.45,-,-,-,-,-,-,8.77
131,TM10127052,4478,ȘCOALA GIMNAZIALĂ NR.20 TIMIȘOARA,4.90,-,-,4.60,-,-,-,-,-,-,4.75
132,TM10127113,2702,"LICEUL CU PROGRAM SPORTIV ""BANATUL"" TIMIȘOARA",7.10,-,-,7.25,-,-,-,-,-,-,7.17
133,TM10127209,2684,ȘCOALA GIMNAZIALĂ NR.30 TIMIȘOARA,7.80,-,-,6.60,-,-,-,-,-,-,7.20
134,TM10127237,5193,ȘCOALA GIMNAZIALĂ SACOȘU TURCESC,1.90,-,-,2.50,-,-,-,-,-,-,2.20
135,TM10127250,3749,ȘCOALA GIMNAZIALĂ MOȘNIȚA NOUĂ,5.65,-,-,6.00,-,-,-,-,-,-,5.82
